"","id1","id2","thetar","thetas","alpha","n","ksat","l","thrim","thsim","omega","pulse","array(serr)"
"151",30,6,0.01,0.44,0.0225,1.45,0.14,0.5,0.15,0.25,0.5,12,213652.544656264
"152",31,6,0.01,0.44,0.025,1.45,0.14,0.5,0.15,0.25,0.5,12,259757.015364042
"153",32,6,0.01,0.44,0.0275,1.45,0.14,0.5,0.15,0.25,0.5,12,305278.44353007
"154",33,6,0.01,0.44,0.03,1.45,0.14,0.5,0.15,0.25,0.5,12,350279.69776607
"155",34,6,0.01,0.44,0.005,1.45,0.16,0.5,0.15,0.25,0.5,12,484393.349172552
"156",35,6,0.01,0.44,0.0075,1.45,0.16,0.5,0.15,0.25,0.5,12,98869.0634470416
"157",36,6,0.01,0.44,0.01,1.45,0.16,0.5,0.15,0.25,0.5,12,44679.3239897287
"158",37,6,0.01,0.44,0.0125,1.45,0.16,0.5,0.15,0.25,0.5,12,61935.5560140032
"159",38,6,0.01,0.44,0.015,1.45,0.16,0.5,0.15,0.25,0.5,12,85595.5114540632
"160",39,6,0.01,0.44,0.0175,1.45,0.16,0.5,0.15,0.25,0.5,12,113026.034193802
"161",40,6,0.01,0.44,0.02,1.45,0.16,0.5,0.15,0.25,0.5,12,146951.349124511
"162",41,6,0.01,0.44,0.0225,1.45,0.16,0.5,0.15,0.25,0.5,12,185428.197625132
"163",42,6,0.01,0.44,0.025,1.45,0.16,0.5,0.15,0.25,0.5,12,227472.920477553
"164",43,6,0.01,0.44,0.0275,1.45,0.16,0.5,0.15,0.25,0.5,12,271116.774336487
"165",44,6,0.01,0.44,0.03,1.45,0.16,0.5,0.15,0.25,0.5,12,313422.824277376
"166",45,6,0.01,0.44,0.005,1.45,0.18,0.5,0.15,0.25,0.5,12,594435.617263422
"167",46,6,0.01,0.44,0.0075,1.45,0.18,0.5,0.15,0.25,0.5,12,125867.097502033
"168",47,6,0.01,0.44,0.01,1.45,0.18,0.5,0.15,0.25,0.5,12,41034.5360499414
"169",48,6,0.01,0.44,0.0125,1.45,0.18,0.5,0.15,0.25,0.5,12,43190.7376773881
"170",49,6,0.01,0.44,0.015,1.45,0.18,0.5,0.15,0.25,0.5,12,69035.5979666241
"171",50,6,0.01,0.44,0.0175,1.45,0.18,0.5,0.15,0.25,0.5,12,95995.690251387
"172",51,6,0.01,0.44,0.02,1.45,0.18,0.5,0.15,0.25,0.5,12,127060.609764709
"173",52,6,0.01,0.44,0.0225,1.45,0.18,0.5,0.15,0.25,0.5,12,162740.819628186
"174",53,6,0.01,0.44,0.025,1.45,0.18,0.5,0.15,0.25,0.5,12,200753.352182442
"175",54,6,0.01,0.44,0.0275,1.45,0.18,0.5,0.15,0.25,0.5,12,241718.824765616
"176",55,6,0.01,0.44,0.03,1.45,0.18,0.5,0.15,0.25,0.5,12,283089.496623509
"177",56,6,0.01,0.44,0.005,1.45,0.2,0.5,0.15,0.25,0.5,12,706693.786235224
"178",57,6,0.01,0.44,0.0075,1.45,0.2,0.5,0.15,0.25,0.5,12,156797.529073225
