oid,qid,cid,dist
187,17,11,271.8433063
188,18,1,81.25075431
189,18,2,49.19112373
190,18,3,37.77010774
191,18,4,51.41548555
192,18,5,80.16653243
193,18,6,106.0658446
194,18,7,138.6539416
195,18,8,170.250029
196,18,9,203.9577593
197,18,10,239.7642145
198,18,11,271.17126
199,19,1,112.9142347
200,19,2,75.28957768
201,19,3,46.53101827
202,19,4,30.77107458
203,19,5,46.26103509
204,19,6,69.48921235
205,19,7,101.751694
206,19,8,133.4567653
207,19,9,167.4047258
208,19,10,203.4895147
209,19,11,235.0976681
210,20,1,126.7704162
211,20,2,93.90113064
212,20,3,72.20510411
213,20,4,61.77605495
214,20,5,69.5180192
215,20,6,83.30748043
216,20,7,109.1295815
217,20,8,137.54281
218,20,9,168.8028806
219,20,10,202.8826401
220,20,11,233.3167172
221,21,1,153.356746
222,21,2,128.0826002
223,21,3,113.9915781
224,21,4,108.000404
225,21,5,113.0139655
226,21,6,119.647987
227,21,7,137.1184454
228,21,8,159.5743599
229,21,9,185.5540495
230,21,10,215.3711817
231,21,11,243.0917429
232,22,1,177.845885
233,22,2,149.8289085
234,22,3,131.4046531
235,22,4,119.1088484
236,22,5,115.9268336
237,22,6,115.2311557
238,22,7,125.9066896
239,22,8,144.0415069
240,22,9,166.7471245
241,22,10,194.2821583
242,22,11,220.7113831
243,23,1,147.8297728
244,23,2,110.228063
245,23,3,80.02504217
246,23,4,54.43825908
247,23,5,42.44020379
248,23,6,47.96700551
249,23,7,73.32291868
250,23,8,102.8274431
251,23,9,135.4074832
252,23,10,170.6776019
253,23,11,201.8864708
254,24,1,176.7952783
255,24,2,137.4399481
256,24,3,104.0189713
257,24,4,71.79573718
258,24,5,40.26466879
259,24,6,17.98575923
260,24,7,35.99252313
261,24,8,67.00254064
262,24,9,101.1149961
263,24,10,137.5628764
264,24,11,169.4380338
265,25,1,190.8483005
266,25,2,154.2889167
267,25,3,124.8427911
268,25,4,98.2926474
269,25,5,76.62699494
270,25,6,61.27362683
271,25,7,62.78330598
272,25,8,80.6278549
273,25,9,106.4760855
274,25,10,137.936806
275,25,11,167.2835165
276,26,1,193.3351934
277,26,2,158.9387622
278,26,3,132.3081076
279,26,4,109.4587561
280,26,5,92.87191213
281,26,6,81.25150328
282,26,7,83.45320784
283,26,8,98.65523811
284,26,9,121.1798832
285,26,10,149.8769246
286,26,11,177.5405618
287,27,1,215.1883496
288,27,2,184.6617625
289,27,3,162.2598909
290,27,4,143.8254049
291,27,5,131.2293789
292,27,6,120.6532998
293,27,7,119.6908935
294,27,8,128.9541824
295,27,9,144.5037729
296,27,10,166.9265128
297,27,11,190.4617367
298,28,1,236.3904367
299,28,2,203.5191234
300,28,3,178.0394639
301,28,4,155.4374637
302,28,5,136.6806871
303,28,6,119.762219
304,28,7,110.4218488
305,28,8,112.6739367
306,28,9,122.7402658
307,28,10,141.7120702
308,28,11,163.646861
309,29,1,226.6720252
310,29,2,189.2189133
311,29,3,158.2316729
312,29,4,128.9104358
313,29,5,100.8891718
314,29,6,75.82667619
315,29,7,57.58663968
316,29,8,58.59929622
317,29,9,75.33802666
318,29,10,103.1639847
319,29,11,131.2893598
320,30,1,218.1163488
321,30,2,179.7265925
322,30,3,147.5450682
323,30,4,116.7256422
324,30,5,86.42819253
325,30,6,59.39323312
326,30,7,39.84962696
327,30,8,46.12168662
328,30,9,70.04907863
329,30,10,102.2983127
330,30,11,132.4870872
331,31,1,244.3095851
332,31,2,205.3597895
333,31,3,172.3341734
334,31,4,140.257578
335,31,5,107.3088645
336,31,6,77.00527299
337,31,7,45.85174056
338,31,8,29.43059153
339,31,9,42.40449774
340,31,10,73.68157426
341,31,11,104.0941887
342,32,1,249.4804083
343,32,2,212.3808725
344,32,3,181.7024269
345,32,4,152.5417813
346,32,5,124.1986247
347,32,6,98.00994984
348,32,7,75.0745363
349,32,8,65.94927867
350,32,9,70.96950054
351,32,10,91.39915064
352,32,11,116.3147055
353,33,1,273.3237543
354,33,2,237.3757348
355,33,3,207.9472627
356,33,4,180.1000884
357,33,5,153.2261357
358,33,6,127.8439824
359,33,7,104.7223596
360,33,8,91.78239294
361,33,9,87.45236918
362,33,10,96.9063983
363,33,11,115.0104224
364,34,1,296.118865
365,34,2,259.4494628
366,34,3,229.0638097
367,34,4,199.9231109
368,34,5,170.910044
369,34,6,143.3437574
370,34,7,115.8737157
371,34,8,96.19196753
372,34,9,82.21754119
373,34,10,81.88802124
374,34,11,94.75695975
375,35,1,288.8696429
376,35,2,250.7227708
377,35,3,218.6059569
378,35,4,187.4643069
379,35,5,155.6178368
380,35,6,125.8291187
381,35,7,94.47510927
382,35,8,69.87028216
383,35,9,51.83265258
384,35,10,54.70734642
385,35,11,74.4622433
386,36,1,283.9489953
387,36,2,244.6108586
388,36,3,211.0133985
389,36,4,178.1670612
390,36,5,143.7230343
391,36,6,112.3399552
392,36,7,77.38787107
393,36,8,46.08071731
394,36,9,17.35928231
395,36,10,32.46653555
