Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2014-6-23,88.2,69.9,52.9,50.9,46.1,41.7,75,45,22,29.95,29.79,14,1,16,0.00 
2014-6-24,81.3,66.8,50.4,49.6,45.7,40.5,76,50,27,30.01,29.87,9,1,11,0.00 
2014-6-25,70.2,63.1,57.0,55.4,51.4,48.6,77,66,54,29.92,29.76,11,2,12,0.00 
2014-6-26,71.1,63.2,56.3,51.1,48.6,44.4,78,60,47,29.88,29.78,12,2,13,0.00 
2014-6-27,77.7,67.4,55.6,52.7,47.7,43.3,68,50,32,29.89,29.80,14,2,17,0.00 
2014-6-28,83.5,64.4,45.3,49.1,42.7,33.4,87,51,18,29.96,29.85,9,1,9,0.00 
2014-6-29,86.7,67.8,47.7,45.0,38.8,18.9,76,40,13,30.04,29.89,9,2,10,0.00 
2014-6-30,95.4,72.4,50.0,49.1,42.5,35.6,77,39,13,30.00,29.76,8,1,8,0.00 
2014-7-1,102.6,79.0,56.3,50.5,45.1,37.4,63,35,12,29.81,29.60,10,1,11,0.00 
2014-7-2,95.2,77.7,59.2,55.8,50.1,45.1,66,41,19,29.81,29.67,11,1,11,0.00 
2014-7-3,95.2,76.5,57.7,56.5,48.7,32.7,77,43,16,29.87,29.72,10,1,12,0.00 
2014-7-4,94.3,75.2,55.4,53.2,43.1,30.7,63,35,14,29.91,29.78,12,1,14,0.00 
2014-7-5,97.0,76.4,55.0,47.3,37.2,13.1,52,28,6,29.99,29.86,8,1,11,0.00 
2014-7-6,96.4,76.3,54.9,48.2,43.5,36.5,72,35,14,30.04,29.85,9,1,10,0.00 
2014-7-7,100.8,79.4,56.8,56.8,49.6,42.3,69,39,15,29.95,29.70,8,1,9,0.00 
2014-7-8,88.0,76.8,67.6,67.3,58.1,52.7,68,53,38,29.83,29.76,6,0,6,0.00 
2014-7-9,98.2,73.1,62.1,70.0,58.1,52.7,90,63,25,29.86,29.72,8,1,9,0.09 
2014-7-10,97.0,75.4,56.7,64.0,54.3,39.7,97,58,16,29.86,29.68,8,1,12,0.01 
2014-7-11,85.5,71.2,62.1,62.1,55.8,46.4,90,60,37,29.95,29.78,7,1,8,0.09 
2014-7-12,95.7,75.7,55.2,59.7,52.8,44.6,90,52,20,30.04,29.89,8,1,9,0.00 
2014-7-13,97.0,79.9,64.2,58.1,51.0,41.2,70,41,16,29.98,29.81,11,1,12,0.00 
2014-7-14,97.3,77.9,56.5,57.9,50.7,43.3,70,42,21,29.96,29.78,10,1,11,0.00 
2014-7-15,101.1,80.6,61.9,58.5,52.7,45.5,72,42,19,29.92,29.74,7,1,8,0.00 
2014-7-16,97.3,81.4,66.4,61.0,53.5,46.6,61,40,22,29.89,29.75,9,1,11,0.00 
2014-7-17,96.4,82.1,69.6,62.1,55.8,47.5,71,43,22,29.84,29.68,8,1,9,0.00 
2014-7-18,97.0,78.8,60.1,53.2,47.4,36.5,66,37,14,29.88,29.74,9,1,10,0.00 
2014-7-19,96.8,78.0,57.6,51.3,45.2,38.3,60,34,16,29.93,29.75,9,1,9,0.00 
2014-7-20,94.6,78.0,60.8,56.3,49.7,40.1,71,40,17,29.83,29.67,9,1,10,0.00 
2014-7-21,88.3,72.0,57.7,62.8,53.2,45.0,90,54,28,29.94,29.78,11,1,14,0.04 
2014-7-22,85.6,67.7,59.0,64.2,58.0,48.0,92,75,30,29.95,29.88,10,1,12,0.01 
2014-7-23,78.3,64.4,54.1,59.4,50.7,40.6,94,66,29,30.10,29.95,15,1,17,0.01 
2014-7-24,82.0,63.8,45.3,48.4,40.3,23.9,90,51,13,30.19,29.94,9,1,12,0.00 
2014-7-25,89.4,68.9,47.8,47.3,39.7,12.2,76,42,6,30.02,29.84,8,1,8,0.00 
2014-7-26,95.2,74.2,52.2,49.1,44.6,37.6,75,40,14,29.99,29.83,8,1,12,0.00 
2014-7-27,92.1,74.5,60.1,55.4,48.9,39.2,67,43,16,29.98,29.86,6,0,7,0.00 
2014-7-28,97.3,78.9,56.7,52.2,45.8,38.8,73,36,14,30.02,29.86,9,1,10,0.00 
2014-7-29,98.4,77.4,58.8,54.7,44.1,33.4,55,33,12,30.00,29.85,13,1,17,0.00 
2014-7-30,96.3,74.6,55.2,59.4,48.7,41.5,73,43,17,30.00,29.86,11,1,14,0.00 
2014-7-31,95.2,77.4,60.3,55.2,45.9,30.6,72,39,11,29.96,29.79,8,1,9,0.00 
2014-8-1,97.3,75.8,54.5,49.8,39.5,29.5,58,31,10,29.92,29.76,7,1,8,0.00 
2014-8-2,92.7,74.6,54.9,51.6,41.4,34.5,57,33,14,29.91,29.76,10,1,11,0.00 
2014-8-3,90.7,73.9,57.7,54.5,50.4,43.9,77,47,20,29.91,29.75,6,0,6,0.00 
2014-8-4,90.5,75.0,59.7,58.6,52.7,49.1,72,48,27,29.92,29.76,8,0,9,0.00 
2014-8-5,84.6,72.9,63.9,59.4,56.8,53.6,76,58,39,29.98,29.87,7,0,9,0.00 
2014-8-6,90.9,74.0,59.5,58.6,51.3,42.1,84,50,20,30.03,29.86,8,1,8,0.00 
2014-8-7,91.6,73.4,56.5,52.2,49.0,46.2,74,45,22,29.97,29.78,9,1,13,0.00 
2014-8-8,87.6,72.8,57.2,53.2,49.9,45.9,75,47,27,29.93,29.78,6,1,9,0.00 
2014-8-9,91.9,73.1,55.2,52.2,48.0,45.1,78,45,22,29.94,29.78,11,1,11,0.00 
2014-8-10,94.3,73.4,55.2,52.7,46.8,40.3,74,43,17,29.96,29.84,11,1,11,0.00 
