date,C1-1,C2-1,C3-1,C4-1,C5-2,C6-2,C7-2,C8-2,C9-3,C10-3,C11-3,C12-3,C13-4,C14-4,C15-4,C16-4,C17-5,C18-5,C19-5,C20-5,C21-6,C22-6,C23-6,C24-6,C25-7,C26-7,C27-7,C28-7,C29-8,C30-8,C31-8,C32-8,C33-9,C34-9,C35-9,C36-9,C37-10,C38-10,C39-10,C40-10,C41-11,C42-11,C43-11,C44-11,C45-12,C46-12,C47-12,C48-12
1/17/2015 20:45,12.364,5.898,4.921,3.985,8.792,7.293,6.153,5.179,8.742,7.469,6.458,5.514,8.767,7.494,6.484,5.334,8.965,7.82,6.763,5.796,8.717,7.494,6.585,5.693,8.319,7.268,6.204,5.437,8.941,7.82,6.788,5.77,8.742,7.67,6.788,5.668,8.469,7.393,6.611,5.668,8.99,7.92,6.889,6,-94.792,7.845,6.864,5.411
1/17/2015 21:00,12.074,5.924,4.947,3.985,8.767,7.318,6.179,5.179,8.717,7.469,6.509,5.514,8.742,7.519,6.509,5.334,8.941,7.82,6.788,5.796,8.717,7.494,6.611,5.693,8.319,7.293,6.23,5.437,8.916,7.845,6.813,5.77,8.717,7.67,6.813,5.668,8.444,7.419,6.636,5.668,8.965,7.945,6.914,6,-94.792,7.845,6.864,5.411
1/17/2015 21:15,12.534,5.949,4.973,3.985,8.742,7.343,6.204,5.179,8.693,7.469,6.509,5.514,8.717,7.519,6.535,5.334,8.916,7.845,6.813,5.821,8.668,7.519,6.611,5.693,8.27,7.318,6.255,5.437,8.916,7.845,6.813,5.77,8.693,7.67,6.813,5.668,8.419,7.419,6.636,5.693,8.941,7.945,6.94,6,-94.792,7.82,6.864,5.437
1/17/2015 21:30,12.654,5.949,4.973,3.985,8.717,7.368,6.23,5.179,8.668,7.494,6.535,5.514,8.693,7.519,6.56,5.334,8.866,7.845,6.839,5.821,8.668,7.519,6.636,5.693,8.27,7.318,6.281,5.437,8.891,7.87,6.839,5.77,8.668,7.67,6.839,5.693,8.419,7.419,6.661,5.693,8.916,7.945,6.94,6,-94.792,7.82,6.864,5.437
1/17/2015 21:45,12.292,5.975,4.999,3.985,8.693,7.368,6.255,5.179,8.643,7.494,6.56,5.514,8.668,7.544,6.56,5.334,8.866,7.845,6.864,5.821,8.643,7.519,6.661,5.693,8.27,7.318,6.306,5.437,8.866,7.87,6.864,5.796,8.668,7.67,6.839,5.693,8.394,7.419,6.661,5.693,8.891,7.945,6.965,6,-94.792,7.82,6.864,5.437
1/17/2015 22:00,11.053,5.975,5.024,4.011,8.668,7.393,6.281,5.179,8.618,7.494,6.585,5.514,8.643,7.544,6.585,5.334,8.817,7.845,6.864,5.821,8.618,7.519,6.661,5.693,8.245,7.318,6.306,5.437,8.841,7.87,6.889,5.796,8.643,7.67,6.864,5.693,8.369,7.419,6.687,5.693,8.866,7.945,6.965,6,-94.792,7.82,6.864,5.437
1/17/2015 22:15,12.485,6,5.05,4.011,8.643,7.419,6.306,5.205,8.593,7.494,6.611,5.539,8.618,7.544,6.611,5.36,8.792,7.845,6.889,5.847,8.618,7.519,6.687,5.693,8.22,7.318,6.306,5.462,8.817,7.87,6.889,5.796,8.618,7.67,6.864,5.693,8.369,7.419,6.712,5.693,8.866,7.945,6.99,6,-94.792,7.82,6.864,5.437
1/17/2015 22:30,12.437,6,5.076,4.011,8.618,7.419,6.331,5.205,8.568,7.519,6.611,5.539,8.593,7.544,6.636,5.36,8.767,7.845,6.914,5.847,8.593,7.544,6.712,5.693,8.22,7.318,6.331,5.462,8.817,7.87,6.914,5.796,8.593,7.67,6.864,5.693,8.344,7.444,6.712,5.693,8.841,7.92,6.99,6,-94.792,7.795,6.889,5.437
1/17/2015 22:45,12.751,6,5.076,4.037,8.593,7.419,6.357,5.205,8.543,7.519,6.636,5.539,8.568,7.544,6.661,5.36,8.767,7.845,6.914,5.847,8.568,7.544,6.712,5.719,8.195,7.318,6.357,5.462,8.792,7.87,6.914,5.796,8.568,7.67,6.889,5.693,8.319,7.444,6.712,5.693,8.817,7.945,6.99,6,-94.792,7.795,6.889,5.437
1/17/2015 23:00,11.807,6.026,5.102,4.037,8.568,7.444,6.382,5.205,8.519,7.519,6.661,5.539,8.543,7.544,6.661,5.36,8.742,7.845,6.94,5.847,8.568,7.544,6.737,5.719,8.17,7.318,6.357,5.488,8.767,7.87,6.94,5.796,8.543,7.67,6.914,5.719,8.295,7.444,6.737,5.719,8.792,7.945,7.015,6,-94.792,7.77,6.889,5.462
1/17/2015 23:15,10.443,6.026,5.128,4.037,8.568,7.444,6.408,5.205,8.494,7.519,6.661,5.539,8.519,7.544,6.687,5.385,8.717,7.845,6.965,5.847,8.543,7.544,6.763,5.719,8.17,7.318,6.382,5.488,8.742,7.87,6.965,5.796,8.519,7.645,6.914,5.719,8.27,7.444,6.737,5.719,8.767,7.945,7.015,6,-94.792,7.77,6.914,5.462
1/17/2015 23:30,10.492,6.026,5.154,4.037,8.543,7.469,6.408,5.231,8.469,7.519,6.687,5.539,8.519,7.544,6.687,5.385,8.693,7.845,6.965,5.847,8.519,7.544,6.763,5.719,8.145,7.343,6.382,5.488,8.742,7.87,6.965,5.821,8.494,7.645,6.914,5.719,8.27,7.444,6.763,5.719,8.742,7.92,7.041,6,-94.792,7.77,6.914,5.488
1/17/2015 23:45,10.001,6.026,5.154,4.037,8.519,7.469,6.433,5.231,8.444,7.519,6.712,5.539,8.494,7.544,6.712,5.385,8.668,7.845,6.99,5.872,8.519,7.544,6.788,5.745,8.12,7.343,6.408,5.488,8.717,7.87,6.99,5.821,8.469,7.645,6.914,5.745,8.245,7.444,6.763,5.719,8.717,7.92,7.041,6.026,-94.792,7.77,6.914,5.488
1/18/2015 0:00,10.1,6.051,5.179,4.063,8.494,7.469,6.458,5.231,8.419,7.519,6.712,5.565,8.469,7.544,6.712,5.385,8.668,7.845,6.99,5.872,8.494,7.544,6.788,5.745,8.12,7.343,6.408,5.488,8.693,7.87,6.99,5.821,8.469,7.645,6.94,5.745,8.245,7.444,6.788,5.745,8.717,7.92,7.066,6.026,-94.792,7.77,6.914,5.488
