Date,C1,C2,C3,H1,H2,H3,L1,L2,L3,N1,N2
2/18/2015 5:30:00,0.007639935,0.007639935,0.007639935,0.007639935,0.007639935,0.007639935,0.007639935,0.007639935,0.007639935,0,0
2/18/2015 5:45:00,0.016868916,0.016868916,0.016868916,0.016868916,0.016868916,0.016868916,0.016868916,0.016868916,0.016868916,0,0
2/18/2015 6:00:00,0.021047597,0.021047597,0.021047597,0.021047597,0.021047597,0.021047597,0.021047597,0.021047597,0.021047597,0,0
2/18/2015 6:15:00,0.018540174,0.018540174,0.018540174,0.018540174,0.018540174,0.018540174,0.018540174,0.018540174,0.018540174,0,0
2/18/2015 6:30:00,0.006853535,0.006853535,0.006853535,0.006853535,0.006853535,0.006853535,0.006853535,0.006853535,0.006853535,0,0
2/18/2015 6:45:00,0.017155112,0.017155112,0.017155112,0.017155112,0.017155112,0.017155112,0.017155112,0.017155112,0.017155112,0,0
2/18/2015 7:00:00,0.020426181,0.020426181,0.020426181,0.020426181,0.020426181,0.020426181,0.020426181,0.020426181,0.020426181,0,0
2/18/2015 7:15:00,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0,0
2/18/2015 7:30:00,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0,0
2/18/2015 7:45:00,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0,0
2/18/2015 8:00:00,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0,0
2/18/2015 8:15:00,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0,0
2/18/2015 8:25:00,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0,0
2/18/2015 8:45:00,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0.018747347,0,0
2/18/2015 9:00:00,0.001789486,0.001789486,0.001789486,0.001789486,0.001789486,0.001789486,0.001789486,0.001789486,0.001789486,0,0
2/18/2015 9:15:00,0.006632104,0.006632104,0.006632104,0.006632104,0.006632104,0.006632104,0.006632104,0.006632104,0.006632104,0,0
2/18/2015 9:30:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 9:45:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 10:00:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 10:15:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 10:30:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
